Supplier Name,"Dequan International (Cambodia) Co., LTD",,,,,PACKING LIST,,,,,,,,,,,,,,,
"Supplier Address: Building 18, Canadia Industry Park, ST. Veng Sreng Chom Chao Quarter,",,,,,,,,,,,,,,,,,,,,,
"Supplier Address: Danngkor District, Phnom Penh, Cambodia.",,,,,,,,,,,,,,,,,,,,,
Supplier Phone# +855 92 262 434/ 78 585 882,,,,,,,,,,,,,,,,,,,,,
Supplier Email:  Jackie.cambo@gmail.com / lisa.cambodia@gmail.com,,,,,,,,,,,,,,,,,,,,,
,,,BOAT 28,,,,,,,,,,,,,,,,,,
INVOICE #,DE310513,,,,,,,,,,,,,,,,,,,,
Parker Shipment #, ,,,,,,,,Initial count discrepancies by Shipping,,0,,,,Date boxes give to QC,,, ,,,
Entered By,JACKIE JACK,,,,,,,,Total Items Counted,,0,,,,Date QC delivers boxes to Warehouse,,, ,,,
From Outlet #,,,,,,,,,Packing Error Rate,,#DIV/0!,,,,Date Warehouse is Complete notify M&S,,,,,,
To Outlet #,,,,,,,,,,, ,,,,Date M&S notifies receipt in MARK,,,,,,
Date Created,25/3/2013,,,,,,,,,,,,,,,,,,,,
Tracking #,HJCU4160360,,,,,,,,,,,,,,,,,,,,
Entered By,5/31/13,,,,,,,,1,1,,,,,,,,,,,
,,,,,,,,,0.2916,0.341,0.2,0.0692,0.05,,,,,,,,
Style/Fab,Description,PO,Stock #,Color,Size,Qty Shipped,TTL,Overage,Box #,KGS,DIMENSION,Volumes,Qty Received,Box # Received by Warehouse,Date Received by Warehouse,Boxes to Pull For QC,Detail of Quantity Received by QC,Detail of Quantity Defective,Detail of Quantity Over/Short,Net Quantity given to Warehouse,NET QUANTITY TO RECEIVE IN MARK
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,4,60,,,252,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,4,60,,,253,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,6,60,,,254,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,6,60,,,255,5.15,22X16X12,,,,,X,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,8,60,,,256,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,8,60,,,257,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,8,60,,,258,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,8,60,,,259,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,10,60,,,260,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,10,60,,,261,5.15,22X16X12,,,,,,60,0,0,60,60
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,10,25,,,262,5.22,22X16X12,,,,,,25,0,0,25,25
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,12,36,,,262,,,,,,,,36,0,0,36,36
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,6,13,,,263,5.29,22X16X12,,,,,,13,0,0,13,13
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,14,49,,,263,,,,,,,,49,0,0,49,49
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,16,47,,,264,5.08,22X16X12,,,,,X,47,0,0,47,47
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,4T,12,,,264,,,,,,,,12,0,0,12,12
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,8,14,,,265,4.25,22X16X12,,,,,,14,0,0,14,14
258/2200,BLOUSE-WHITE SS-GL,1377-01-13,17,,4T,33,,,265,,,,,,,,33,0,0,33,33
258/2200,BLOUSE-WHITE LS-GL,1377-01-13,21,,4,12,,,266,4.25,22X16X12,,,,,,12,0,0,12,12
258/2200,BLOUSE-WHITE LS-GL,1377-01-13,21,,6,21,,,266,,,,,,,,21,0,0,21,21
258/2200,BLOUSE-WHITE LS-GL,1377-01-13,21,,8,14,,,266,,,,,,,,14,0,0,14,14
258/2200,BLOUSE-WHITE LS-GL,1377-01-13,21,,8,10,,,267,3.28,22X16X12,,,,,,10,0,0,10,10
258/2200,BLOUSE-WHITE LS-GL,1377-01-13,21,,10,23,,,267,,,,,,,,23,0,0,23,23
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,4,80,,,268,6.54,22X16X12,,,,,X,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,4,80,,,269,6.54,22X16X12,,,,,,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,6,80,,,270,6.54,22X16X12,,,,,,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,6,80,,,271,6.54,22X16X12,,,,,,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,6,80,,,272,6.54,22X16X12,,,,,,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,8,80,,,273,6.54,22X16X12,,,,,,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,10,80,,,274,6.54,22X16X12,,,,,X,80,0,0,80,80
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,4,6,,,275,6.33,22X16X12,,,,,,6,0,0,6,6
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,12,48,,,275,,,,,,,,48,0,0,48,48
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,14,23,,,275,,,,,,,,23,0,0,23,23
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,16,36,,,276,6.54,22X16X12,,,,,,36,0,0,36,36
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,18,12,,,276,,,,,,,,12,0,0,12,12
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,3T,32,,,276,,,,,,,,32,0,0,32,32
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,8,28,,,277,6.33,22X16X12,,,,,,28,0,0,28,28
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,2T,9,,,277,,,,,,,,9,0,0,9,9
316/26,BLOUSE-WHITE SS OVERBLOUSE-GL,1377-01-13,2030,,3T,3,,,277,,,,,,,,3,0,0,3,3
